,sym_1,sym_2,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_return,current_z_score,total_score
21,ETHUSDT,FTMUSDT,0.03664983350263091,1662.1336415830492,1412.7114221375593,6,10.172556302517265,0.6827747223896826,10.172556302517265
33,LTCUSDT,BNBUSDT,0.028622911428284315,1.020020035894741,-142.41233433113732,5,9.948538114193136,-0.7358315139610822,9.948538114193136
5,BTCUSDT,SOLUSDT,0.04449777417801466,-110.926505124379,32640.793751424386,3,9.66825559556942,-0.39016569024937514,9.66825559556942
54,BNBUSDT,DYDXUSDT,0.03978179735172988,69.99659795663456,105.9564146640299,6,9.633365475534816,0.23286440924499174,9.633365475534816
0,BTCUSDT,ETHUSDT,0.0025909512030902783,7.884461504343556,15507.89671804014,5,9.53592637438282,-0.5338253217990396,9.53592637438282
80,FTMUSDT,LDOUSDT,0.012292204356400415,0.20028945211885688,-0.11613608594677734,11,7.791591219704465,-0.43284704313839023,7.791591219704465
28,XRPUSDT,GMTUSDT,0.013975703704647477,1.0327709973577235,0.24606683945704422,5,5.775649552117458,1.0250731679574592,5.775649552117458
22,XRPUSDT,LINKUSDT,0.009985421115084905,0.055227892100567076,0.12776865585916528,10,4.762805091636061,0.5870156042619925,4.762805091636061
98,CELOUSDT,APTUSDT,0.013074022583104635,0.07387933924226645,-0.029249986793015475,5,4.749765914204588,1.0085468678883163,4.749765914204588
74,SOLUSDT,FILUSDT,0.019205768307895027,-7.8883086939310765,55.62301299500844,6,4.6674257123749925,0.30161527218091067,4.6674257123749925
86,AXSUSDT,GMTUSDT,0.04329055414192246,16.569457686984247,2.3050006594066668,4,4.206859660535559,-0.7856822064420673,4.206859660535559
38,ETCUSDT,SOLUSDT,0.011046067128329003,-0.11100915086899732,21.37680821789456,7,4.038514840109357,-1.1758031125530908,4.038514840109357
100,GMTUSDT,OPUSDT,0.04518177578075486,0.22699231908586073,-0.05923206094521056,5,2.758889727688553,-2.114895784539497,2.758889727688553
101,GMTUSDT,APTUSDT,0.044252402586485974,0.02938777374891366,0.0049743976039423755,4,0.8948072025601856,0.061901708923361,0.8948072025601856
43,ETCUSDT,FLOWUSDT,0.004979917200346283,16.79276081749994,8.748786130821218,6,0.7686895833967322,-1.7173382328076574,0.7686895833967322
31,EOSUSDT,OPUSDT,0.03578039889500375,0.3666292303145007,0.27836141061859104,4,-1.0718696802209327,0.12655564120357166,-1.0718696802209327
61,DOGEUSDT,LDOUSDT,0.014363201414764897,0.013656968941184205,0.038964044422702605,5,-4.298869678321094,0.6573893399505386,-4.298869678321094
32,EOSUSDT,INJUSDT,0.024218847838334504,0.041886714795380135,0.38579598463982306,4,-5.556453881177173,-0.34787937444150135,-5.556453881177173
58,ONTUSDT,CELOUSDT,0.04712907015314306,0.25812290847473374,0.05977923425813093,3,-8.000302646027261,1.37861393714719,-8.000302646027261
99,FLOWUSDT,APTUSDT,0.03645404391025776,0.05393864291241635,0.22331050027664862,8,-9.010187181401179,0.349142846314956,-9.010187181401179
84,BELUSDT,APTUSDT,0.036441703821603055,-0.07914807511445898,1.2865619453613653,6,-9.30437148108048,-0.2517198167135614,-9.30437148108048
51,ADAUSDT,MASKUSDT,0.0020411394705613013,0.05183765948736411,0.1084880687249907,6,-11.511953036833747,0.16257678445633786,-11.511953036833747
96,GALAUSDT,INJUSDT,0.0457932687772374,0.0016952819663703105,0.010383692171092055,6,-13.44312064359172,-0.42745710160699796,-13.44312064359172
45,LINKUSDT,SOLUSDT,0.044793754831612055,-0.06576723759354876,7.589059754197206,4,-20.298392667397128,-0.2107734517724468,-20.298392667397128
95,GALAUSDT,OPUSDT,0.04511600156971926,0.01616944334519841,0.004402824610617283,6,-22.316115355962147,0.3004325469335681,-22.316115355962147
57,ONTUSDT,COMPUSDT,0.0464659641701384,0.001375210060078164,0.11193714862594839,6,-27.006096752961355,-0.7137788455471038,-27.006096752961355
59,DOGEUSDT,SOLUSDT,0.04274666760039313,-0.0006796649454281921,0.08017216419948438,3,-29.749075082941907,-0.0005801990475811519,-29.749075082941907
