,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
102,15m,200,80,120,1.6,-0.49612851,0,-0.99225702,0
635,15m,600,40,120,2,-0.709366917,0,-1.418733834,0
215,15m,300,20,120,2,-0.758366174,0,-2.275098523,0
632,15m,600,40,120,0.8,-0.861378988,0.5,-2.059771783,1
79,15m,200,60,160,2,-0.86834226,0,-0.86834226,0
275,15m,300,60,160,2,-0.86834226,0,-0.86834226,0
487,15m,400,80,60,2,-0.93129538,0,-1.862590761,0
399,15m,400,20,40,2,-0.953661072,0,-0.953661072,0
48,15m,200,40,160,0.8,-0.976956402,0.25,-7.765044733,1
634,15m,600,40,120,1.6,-1.004816956,0,-1.004816956,0
218,15m,300,20,160,1.6,-1.019275188,0,-1.019275188,0
249,15m,300,40,200,1.2,-1.028824144,0,-3.086472433,0
95,15m,200,80,60,2,-1.043131361,0,-2.086262722,0
25,15m,200,20,200,1.2,-1.04900079,0.222222222,-9.771641914,1
222,15m,300,20,200,1.6,-1.07170852,0,-1.07170852,0
91,15m,200,80,40,2,-1.28365439,0,-3.850963171,0
223,15m,300,20,200,2,-1.336428178,0,-4.009284535,0
49,15m,200,40,160,1.2,-1.399871653,0,-1.399871653,0
418,15m,400,20,200,1.6,-1.498614269,0,-1.498614269,0
32,15m,200,40,40,0.8,-1.77028791,0.5,-7.121572213,2
24,15m,200,20,200,0.8,-1.922313728,0,-3.844627456,0
209,15m,300,20,80,1.2,-1.925372269,0,-3.850744538,0
70,15m,200,60,80,1.6,-2.059602677,0,-6.17880803,0
33,15m,200,40,40,1.2,-2.492795075,0.5,-6.018672857,1
45,15m,200,40,120,1.2,-2.524809879,0,-5.049619758,0
248,15m,300,40,200,0.8,-2.619965556,0.166666667,-9.425087809,1
211,15m,300,20,80,2,-2.768019921,0,-5.536039843,0
313,15m,300,120,40,1.2,-2.810983591,0,-5.621967182,0
609,15m,600,20,160,1.2,-2.915360911,0,-5.830721823,0
21,15m,200,20,160,1.2,-3.211549505,0,-3.211549505,0
172,15m,200,200,40,0.8,-3.214593021,0.5,-3.214593021,0
656,15m,600,60,80,0.8,-3.433264404,0,-5.149896606,0
276,15m,300,60,200,0.8,-3.520938491,0,-7.041876982,0
678,15m,600,80,40,1.6,-4.147559433,0,-4.147559433,0
620,15m,600,40,40,0.8,-4.258969558,0,-4.258969558,0
82,15m,200,60,200,1.6,-4.944573584,0,-9.889147168,0
629,15m,600,40,80,1.2,-4.986854746,0,-4.986854746,0
676,15m,600,80,40,0.8,-5.087780833,0,-5.087780833,0
11,15m,200,20,60,2,-5.217965711,0.333333333,-8.587733103,1
468,15m,400,60,160,0.8,-5.383374466,0,-5.383374466,0
312,15m,300,120,40,0.8,-5.621967182,0,-5.621967182,0
314,15m,300,120,40,1.6,-5.621967182,0,-5.621967182,0
6,15m,200,20,40,1.6,-5.680960792,0.5,-14.92919728,1
116,15m,200,120,40,0.8,-5.914001513,0,-17.74200454,0
480,15m,400,80,40,0.8,-5.926441142,0,-5.926441142,0
464,15m,400,60,120,0.8,-6.179491049,0,-6.179491049,0
5,15m,200,20,40,1.2,-6.460922484,0.166666667,-9.691383726,0
369,15m,300,200,40,1.2,-6.468598015,0,-12.93719603,0
76,15m,200,60,160,0.8,-6.781484224,0,-6.781484224,0
427,15m,400,40,40,2,-7.521355611,0,-7.521355611,0
78,15m,200,60,160,1.6,-7.798160819,0,-7.798160819,0
605,15m,600,20,120,1.2,-8.183372005,0,-8.183372005,0
264,15m,300,60,80,0.8,-8.230577928,0,-8.230577928,0
53,15m,200,40,200,1.2,-8.760334662,0,-8.760334662,0
273,15m,300,60,160,1.2,-9.13107417,0,-9.13107417,0
256,15m,300,60,40,0.8,-9.684568961,0,-9.684568961,0
257,15m,300,60,40,1.2,-9.684568961,0,-9.684568961,0
258,15m,300,60,40,1.6,-9.684568961,0,-9.684568961,0
40,15m,200,40,80,0.8,-10.31181486,0,-10.31181486,0
340,15m,300,160,40,0.8,-12.82378569,0,-12.82378569,0
341,15m,300,160,40,1.2,-12.82378569,0,-12.82378569,0
342,15m,300,160,40,1.6,-12.82378569,0,-12.82378569,0
368,15m,300,200,40,0.8,-12.93719603,0,-12.93719603,0
370,15m,300,200,40,1.6,-12.93719603,0,-12.93719603,0
201,15m,300,20,40,1.2,-15.82137217,0,-15.82137217,0
80,15m,200,60,200,0.8,-16.85669155,0,-16.85669155,0
596,15m,600,20,60,0.8,-19.64941816,0,-19.64941816,0
217,15m,300,20,160,1.2,-23.49666448,0,-23.49666448,0
0,15m,200,20,20,0.8,,,,0
1,15m,200,20,20,1.2,,,,0
2,15m,200,20,20,1.6,,,,0
3,15m,200,20,20,2,,,,0
8,15m,200,20,60,0.8,,,,0
9,15m,200,20,60,1.2,,,,0
22,15m,200,20,160,1.6,,,,0
28,15m,200,40,20,0.8,,,,0
29,15m,200,40,20,1.2,,,,0
30,15m,200,40,20,1.6,,,,0
31,15m,200,40,20,2,,,,0
37,15m,200,40,60,1.2,,,,0
39,15m,200,40,60,2,,,,0
52,15m,200,40,200,0.8,,,,0
56,15m,200,60,20,0.8,,,,0
57,15m,200,60,20,1.2,,,,0
58,15m,200,60,20,1.6,,,,0
59,15m,200,60,20,2,,,,0
81,15m,200,60,200,1.2,,,,0
83,15m,200,60,200,2,,,,0
84,15m,200,80,20,0.8,,,,0
85,15m,200,80,20,1.2,,,,0
86,15m,200,80,20,1.6,,,,0
87,15m,200,80,20,2,,,,0
101,15m,200,80,120,1.2,,,,0
104,15m,200,80,160,0.8,,,,0
105,15m,200,80,160,1.2,,,,0
106,15m,200,80,160,1.6,,,,0
107,15m,200,80,160,2,,,,0
108,15m,200,80,200,0.8,,,,0
109,15m,200,80,200,1.2,,,,0
110,15m,200,80,200,1.6,,,,0
111,15m,200,80,200,2,,,,0
112,15m,200,120,20,0.8,,,,0
113,15m,200,120,20,1.2,,,,0
114,15m,200,120,20,1.6,,,,0
115,15m,200,120,20,2,,,,0
120,15m,200,120,60,0.8,,,,0
121,15m,200,120,60,1.2,,,,0
123,15m,200,120,60,2,,,,0
124,15m,200,120,80,0.8,,,,0
127,15m,200,120,80,2,,,,0
128,15m,200,120,120,0.8,,,,0
129,15m,200,120,120,1.2,,,,0
130,15m,200,120,120,1.6,,,,0
131,15m,200,120,120,2,,,,0
133,15m,200,120,160,1.2,,,,0
134,15m,200,120,160,1.6,,,,0
135,15m,200,120,160,2,,,,0
136,15m,200,120,200,0.8,,,,0
137,15m,200,120,200,1.2,,,,0
138,15m,200,120,200,1.6,,,,0
139,15m,200,120,200,2,,,,0
140,15m,200,160,20,0.8,,,,0
141,15m,200,160,20,1.2,,,,0
142,15m,200,160,20,1.6,,,,0
143,15m,200,160,20,2,,,,0
148,15m,200,160,60,0.8,,,,0
149,15m,200,160,60,1.2,,,,0
150,15m,200,160,60,1.6,,,,0
151,15m,200,160,60,2,,,,0
153,15m,200,160,80,1.2,,,,0
154,15m,200,160,80,1.6,,,,0
155,15m,200,160,80,2,,,,0
158,15m,200,160,120,1.6,,,,0
159,15m,200,160,120,2,,,,0
160,15m,200,160,160,0.8,,,,0
161,15m,200,160,160,1.2,,,,0
162,15m,200,160,160,1.6,,,,0
163,15m,200,160,160,2,,,,0
164,15m,200,160,200,0.8,,,,0
165,15m,200,160,200,1.2,,,,0
166,15m,200,160,200,1.6,,,,0
167,15m,200,160,200,2,,,,0
168,15m,200,200,20,0.8,,,,0
169,15m,200,200,20,1.2,,,,0
170,15m,200,200,20,1.6,,,,0
171,15m,200,200,20,2,,,,0
173,15m,200,200,40,1.2,,,,0
174,15m,200,200,40,1.6,,,,0
175,15m,200,200,40,2,,,,0
176,15m,200,200,60,0.8,,,,0
179,15m,200,200,60,2,,,,0
180,15m,200,200,80,0.8,,,,0
181,15m,200,200,80,1.2,,,,0
182,15m,200,200,80,1.6,,,,0
183,15m,200,200,80,2,,,,0
184,15m,200,200,120,0.8,,,,0
185,15m,200,200,120,1.2,,,,0
186,15m,200,200,120,1.6,,,,0
187,15m,200,200,120,2,,,,0
188,15m,200,200,160,0.8,,,,0
189,15m,200,200,160,1.2,,,,0
190,15m,200,200,160,1.6,,,,0
191,15m,200,200,160,2,,,,0
192,15m,200,200,200,0.8,,,,0
193,15m,200,200,200,1.2,,,,0
194,15m,200,200,200,1.6,,,,0
195,15m,200,200,200,2,,,,0
196,15m,300,20,20,0.8,,,,0
197,15m,300,20,20,1.2,,,,0
198,15m,300,20,20,1.6,,,,0
199,15m,300,20,20,2,,,,0
200,15m,300,20,40,0.8,,,,0
202,15m,300,20,40,1.6,,,,0
203,15m,300,20,40,2,,,,0
204,15m,300,20,60,0.8,,,,0
205,15m,300,20,60,1.2,,,,0
207,15m,300,20,60,2,,,,0
212,15m,300,20,120,0.8,,,,0
216,15m,300,20,160,0.8,,,,0
224,15m,300,40,20,0.8,,,,0
225,15m,300,40,20,1.2,,,,0
226,15m,300,40,20,1.6,,,,0
227,15m,300,40,20,2,,,,0
228,15m,300,40,40,0.8,,,,0
229,15m,300,40,40,1.2,,,,0
230,15m,300,40,40,1.6,,,,0
231,15m,300,40,40,2,,,,0
232,15m,300,40,60,0.8,,,,0
233,15m,300,40,60,1.2,,,,0
234,15m,300,40,60,1.6,,,,0
235,15m,300,40,60,2,,,,0
236,15m,300,40,80,0.8,,,,0
237,15m,300,40,80,1.2,,,,0
238,15m,300,40,80,1.6,,,,0
239,15m,300,40,80,2,,,,0
250,15m,300,40,200,1.6,,,,0
252,15m,300,60,20,0.8,,,,0
253,15m,300,60,20,1.2,,,,0
254,15m,300,60,20,1.6,,,,0
255,15m,300,60,20,2,,,,0
259,15m,300,60,40,2,,,,0
260,15m,300,60,60,0.8,,,,0
261,15m,300,60,60,1.2,,,,0
263,15m,300,60,60,2,,,,0
265,15m,300,60,80,1.2,,,,0
272,15m,300,60,160,0.8,,,,0
277,15m,300,60,200,1.2,,,,0
278,15m,300,60,200,1.6,,,,0
279,15m,300,60,200,2,,,,0
280,15m,300,80,20,0.8,,,,0
281,15m,300,80,20,1.2,,,,0
282,15m,300,80,20,1.6,,,,0
283,15m,300,80,20,2,,,,0
284,15m,300,80,40,0.8,,,,0
285,15m,300,80,40,1.2,,,,0
286,15m,300,80,40,1.6,,,,0
287,15m,300,80,40,2,,,,0
288,15m,300,80,60,0.8,,,,0
289,15m,300,80,60,1.2,,,,0
298,15m,300,80,120,1.6,,,,0
299,15m,300,80,120,2,,,,0
300,15m,300,80,160,0.8,,,,0
302,15m,300,80,160,1.6,,,,0
303,15m,300,80,160,2,,,,0
305,15m,300,80,200,1.2,,,,0
306,15m,300,80,200,1.6,,,,0
308,15m,300,120,20,0.8,,,,0
309,15m,300,120,20,1.2,,,,0
310,15m,300,120,20,1.6,,,,0
311,15m,300,120,20,2,,,,0
315,15m,300,120,40,2,,,,0
316,15m,300,120,60,0.8,,,,0
317,15m,300,120,60,1.2,,,,0
320,15m,300,120,80,0.8,,,,0
321,15m,300,120,80,1.2,,,,0
322,15m,300,120,80,1.6,,,,0
323,15m,300,120,80,2,,,,0
330,15m,300,120,160,1.6,,,,0
331,15m,300,120,160,2,,,,0
335,15m,300,120,200,2,,,,0
336,15m,300,160,20,0.8,,,,0
337,15m,300,160,20,1.2,,,,0
338,15m,300,160,20,1.6,,,,0
339,15m,300,160,20,2,,,,0
343,15m,300,160,40,2,,,,0
344,15m,300,160,60,0.8,,,,0
345,15m,300,160,60,1.2,,,,0
347,15m,300,160,60,2,,,,0
351,15m,300,160,80,2,,,,0
354,15m,300,160,120,1.6,,,,0
355,15m,300,160,120,2,,,,0
356,15m,300,160,160,0.8,,,,0
357,15m,300,160,160,1.2,,,,0
358,15m,300,160,160,1.6,,,,0
359,15m,300,160,160,2,,,,0
361,15m,300,160,200,1.2,,,,0
362,15m,300,160,200,1.6,,,,0
363,15m,300,160,200,2,,,,0
364,15m,300,200,20,0.8,,,,0
365,15m,300,200,20,1.2,,,,0
366,15m,300,200,20,1.6,,,,0
367,15m,300,200,20,2,,,,0
371,15m,300,200,40,2,,,,0
372,15m,300,200,60,0.8,,,,0
373,15m,300,200,60,1.2,,,,0
380,15m,300,200,120,0.8,,,,0
383,15m,300,200,120,2,,,,0
384,15m,300,200,160,0.8,,,,0
385,15m,300,200,160,1.2,,,,0
386,15m,300,200,160,1.6,,,,0
387,15m,300,200,160,2,,,,0
391,15m,300,200,200,2,,,,0
392,15m,400,20,20,0.8,,,,0
393,15m,400,20,20,1.2,,,,0
394,15m,400,20,20,1.6,,,,0
395,15m,400,20,20,2,,,,0
400,15m,400,20,60,0.8,,,,0
401,15m,400,20,60,1.2,,,,0
403,15m,400,20,60,2,,,,0
404,15m,400,20,80,0.8,,,,0
405,15m,400,20,80,1.2,,,,0
406,15m,400,20,80,1.6,,,,0
407,15m,400,20,80,2,,,,0
408,15m,400,20,120,0.8,,,,0
412,15m,400,20,160,0.8,,,,0
413,15m,400,20,160,1.2,,,,0
415,15m,400,20,160,2,,,,0
416,15m,400,20,200,0.8,,,,0
419,15m,400,20,200,2,,,,0
420,15m,400,40,20,0.8,,,,0
421,15m,400,40,20,1.2,,,,0
422,15m,400,40,20,1.6,,,,0
423,15m,400,40,20,2,,,,0
432,15m,400,40,80,0.8,,,,0
433,15m,400,40,80,1.2,,,,0
434,15m,400,40,80,1.6,,,,0
435,15m,400,40,80,2,,,,0
436,15m,400,40,120,0.8,,,,0
437,15m,400,40,120,1.2,,,,0
439,15m,400,40,120,2,,,,0
440,15m,400,40,160,0.8,,,,0
441,15m,400,40,160,1.2,,,,0
443,15m,400,40,160,2,,,,0
444,15m,400,40,200,0.8,,,,0
445,15m,400,40,200,1.2,,,,0
446,15m,400,40,200,1.6,,,,0
447,15m,400,40,200,2,,,,0
448,15m,400,60,20,0.8,,,,0
449,15m,400,60,20,1.2,,,,0
450,15m,400,60,20,1.6,,,,0
451,15m,400,60,20,2,,,,0
452,15m,400,60,40,0.8,,,,0
